iter	Accuracy	MultiClassOneVsAll
0	0.7397924063	0.6792406452
100	0.7601522387	0.3826128147
200	0.7639043995	0.3628106729
300	0.765380735	0.3546783969
400	0.7684460478	0.3483884885
500	0.7715987563	0.3426399181
600	0.7754898079	0.3376264072
700	0.7789618395	0.3329088543
800	0.7822674599	0.3285902668
900	0.7862032976	0.3245655163
1000	0.7891252036	0.3209538308
1100	0.7929819849	0.317266873
1200	0.7960743944	0.3136172201
1300	0.7991818766	0.3105436417
1400	0.8018563178	0.3075611191
1500	0.8047773434	0.3046173872
1600	0.8074552491	0.301756792
1700	0.8101487004	0.2990749233
1800	0.8129601981	0.2964170802
1900	0.815322987	0.2938315121
1999	0.8179183311	0.2913132696
