iter	Passed	Remaining
0	10	21700
1	21	21792
2	32	21809
3	43	21505
4	54	21886
5	65	21878
6	75	21441
7	86	21520
8	97	21587
9	108	21508
10	118	21413
11	128	21269
12	138	21136
13	149	21145
14	160	21234
15	170	21138
16	179	20986
17	189	20849
18	199	20833
19	209	20776
20	220	20767
21	230	20699
22	241	20740
23	251	20698
24	262	20721
25	273	20741
26	283	20705
27	294	20747
28	305	20740
29	316	20796
30	326	20709
31	336	20687
32	346	20652
33	355	20564
34	365	20508
35	374	20439
36	384	20374
37	393	20295
38	403	20270
39	414	20286
40	423	20254
41	433	20209
42	444	20214
43	453	20164
44	464	20178
45	474	20155
46	484	20144
47	494	20102
48	505	20124
49	514	20084
50	565	21611
51	642	24072
52	686	25212
53	735	26505
54	841	29758
55	918	31894
56	958	32671
57	1026	34377
58	1077	35448
59	1122	36290
60	1209	38430
61	1263	39483
62	1356	41722
63	1397	42275
64	1427	42497
65	1470	43086
66	1539	44404
67	1614	45861
68	1648	46132
69	1683	46403
70	1747	47482
71	1793	48029
72	1802	47592
73	1814	47213
74	1824	46826
75	1834	46453
76	1845	46079
77	1856	45757
78	1866	45387
79	1877	45057
80	1895	44916
81	1904	44551
82	1915	44246
83	1925	43918
84	1935	43595
85	1945	43295
86	1955	42995
87	1964	42689
88	1974	42387
89	1983	42090
90	1993	41820
91	2003	41556
92	2012	41275
93	2020	40971
94	2029	40705
95	2040	40470
96	2051	40251
97	2062	40020
98	2070	39757
99	2080	39529
100	2090	39307
101	2105	39175
102	2116	38986
103	2129	38829
104	2139	38621
105	2150	38427
106	2162	38251
107	2172	38066
108	2181	37846
109	2191	37657
110	2200	37456
111	2211	37281
112	2223	37134
113	2233	36950
114	2244	36796
115	2255	36638
116	2269	36523
117	2280	36374
118	2290	36209
119	2301	36063
120	2314	35936
121	2323	35773
122	2336	35655
123	2353	35608
124	2363	35445
125	2372	35288
126	2383	35153
127	2402	35132
128	2431	35270
129	2441	35125
130	2453	35000
131	2465	34893
132	2476	34757
133	2485	34617
134	2495	34477
135	2505	34337
136	2515	34206
137	2525	34069
138	2534	33938
139	2546	33827
140	2556	33702
141	2569	33615
142	2581	33521
143	2608	33625
144	2683	34324
145	2717	34513
146	2780	35044
147	2821	35309
148	2900	36029
149	2950	36394
150	3011	36874
151	3048	37064
152	3086	37260
153	3150	37765
154	3192	37995
155	3242	38332
156	3340	39216
157	3430	39998
158	3477	40263
159	3563	40983
160	3647	41660
161	3693	41907
162	3757	42343
163	3791	42450
164	3865	42990
165	3917	43278
166	3968	43557
167	4005	43679
168	4057	43962
169	4153	44710
170	4224	45183
171	4257	45246
172	4295	45362
173	4366	45819
174	4408	45973
175	4484	46479
176	4525	46608
177	4623	47323
178	4693	47747
179	4758	48111
180	4795	48197
181	4823	48181
182	4876	48418
183	4905	48410
184	4947	48543
185	5058	49331
186	5098	49430
187	5171	49844
188	5235	50162
189	5271	50216
190	5306	50262
191	5334	50230
192	5393	50502
193	5440	50649
194	5471	50645
195	5564	51219
196	5618	51419
197	5676	51661
198	5724	51805
199	5833	52501
200	5889	52710
201	5971	53155
202	6028	53364
203	6067	53419
204	6121	53598
205	6153	53593
206	6171	53458
207	6183	53276
208	6195	53089
209	6213	52960
210	6226	52791
211	6240	52634
212	6255	52480
213	6266	52297
214	6278	52130
215	6290	51952
216	6300	51770
217	6313	51604
218	6323	51424
219	6334	51251
220	6361	51209
221	6371	51029
222	6381	50853
223	6393	50689
224	6402	50512
225	6412	50338
226	6423	50168
227	6432	49990
228	6475	50075
229	6556	50453
230	6614	50656
231	6650	50684
232	6724	50994
233	6759	51016
234	6811	51157
235	6860	51275
236	6929	51544
237	6969	51595
238	7002	51596
239	7034	51583
240	7082	51691
241	7133	51824
